game_id,game_name,game_name_ver,game_name_en,game_name_abbr,prep_fun_name,input,extra,index_main,index_reverse
576947514081349,2-back任务,,Two Back CAMP,Nback2CAMP,,,,,
305067065282821,Sandia推理A,,Sandia Reasoning A,SandiaA,countcorrect,,,nc,f
305067236323525,Sandia推理B,,Sandia Reasoning B,SandiaB,countcorrect,,,nc,f
306923687555141,Sandia推理C,,Sandia Reasoning C,SandiaC,countcorrect,,,nc,f
306923906232453,Sandia推理D,,Sandia Reasoning D,SandiaD,countcorrect,,,nc,f
306924084809861,Sandia推理E,,Sandia Reasoning E,SandiaE,countcorrect,,,nc,f
306924227293317,Sandia推理F,,Sandia Reasoning F,SandiaF,countcorrect,,,nc,f
304161462075461,Sandia预测试,,Sandia Reasoning Pilot,SandiaPilot,countcorrect,,,nc,f
268008982646887,一心二用,,Dual Task Paradigm,DualTask,cpt,"list(name_type = ""stimtype"")",,nc,f
580503783383365,一心二用,LQ版,Dual Task Paradigm LQ,DualTaskLQ,cpt,"list(name_type = ""stimtype"")",,nc,f
581941022314821,一心二用,Q版,Dual Task Paradigm Q,DualTaskQ,cpt,"list(name_type = ""stimtype"")",,nc,f
268008982659192,一心二用PRO,,Dual Task Paradigm Pro,DualTaskPro,cpt,"list(name_type = ""stimtype"")",,nc,f
268008982663266,一心多用,,Multiple Task Paradigm,MultiTask,cpt,"list(name_type = ""stimtype"")",,nc,f
375916542735109,万花筒,,Object Span,ObjSpan,span,"list(name_slen = ""numpic"", name_acc = ""acc"")",,nc,f
580516903215173,万花筒,LQ版,Object Span LQ,ObjSpanLQ,span,"list(name_slen = ""numpic"", name_acc = ""acc"")",,nc,f
581937491521605,万花筒,Q版,Object Span Q,ObjSpanQ,span,"list(name_slen = ""numpic"", name_acc = ""acc"")",,nc,f
268008982659144,三维心理旋转测试A,,Mental Rotation 3D A,MR3DA,countcorrect,,,nc,f
580512857256261,三维心理旋转测试A,LQA版,Mental Rotation 3D LQ A,MR3DLQA,countcorrect,,,nc,f
268008982663256,三维心理旋转测试B,,Mental Rotation 3D B,MR3DB,countcorrect,,,nc,f
268008982642815,专注大师,,Calculation Speeded Junior,CalcSpdJr,countcorrect,,,nc,f
268008982642772,专注大师_中级,,Calculation Speeded Medium,CalcSpdMed,countcorrect,,,nc,f
268008982646904,专注大师_高级,,Calculation Speeded Advanced,CalcSpdAdv,countcorrect,,,nc,f
326761060532997,专注大师标准版-中级,,Calculation Speeded Medium Std,CalcSpdMedStd,countcorrect,,,nc,f
268008982663252,九五之集,,Number Sets Test,NumSets,countcorrect,,,nc,f
380173961339781,事件记忆,,Event Order Test,EOT,countcorrect,,,nc,f
581938871021637,事件记忆,QC版,Event Order Test QC,EOTQC,countcorrect,,,nc,f
322146290869125,二维心理旋转测试C,,Mental Rotation C,MRC,countcorrect,,,nc,f
580514476503109,二维心理旋转测试C,LQC版,Mental Rotation LQC C,MRLQCC,countcorrect,,,nc,f
322152762168197,二维心理旋转测试D,,Mental Rotation D,MRD,countcorrect,,,nc,f
386196539900677,井然有序,,Manipulation Span,ManipSpan,span,,,nc,f
581944172884293,井然有序,QA版,Manipulation Span QA,ManipSpanQA,span,,,nc,f
581944844951877,井然有序,QC版,Manipulation Span QC,ManipSpanQC,span,,,nc,f
380174879445893,人工词典A,,Categoral Retrieval A,CatRetA,countcorrect,,,nc,f
